ID,Gender,Age,Member Since,Income,# of Orders,,,,,,,,
3100, M,25,20170121,61000,26,,,,,,,,
3101, F,47,20180717,50000,22,,,,,,,,
3102, F,45,20160301,74000,5,,,,,,,,
3103, F,59,20180108,68000,39,,,,,,,,
3104, F,92,20171207,37000,13,,,,,,,,
3105, M,50,20180118,38000,18,,,,,,,,
3106, F,73,20170819,53000,26,,,,,,,,
3107, F,58,20150915,88000,28,,,,,,,,
3108, M,22,20171213,57000,26,,,,,,,,
3109, M,67,20180130,45000,17,,,,,,,,
3110, M,30,20160418,48000,4,,,,,,,,
3111, M,45,20160908,46000,13,,,,,,,,
3112, F,58,20170202,73000,5,,,,,,,,
3113, F,62,20170930,52000,8,,,,,,,,
3114, F,91,20151119,71000,12,,,,,,,,
3115, M,70,20171225,68000,10,,,,,,,,
3116, M,39,20130827,50000,10,,,,,,,,
3117, M,58,20140418,39000,29,,,,,,,,
3118, F,49,20170326,87000,30,,,,,,,,
3119, F,89,20170922,81000,19,,,,,,,,
3120, M,44,20150225,68000,32,,,,,,,,
3121, F,55,20170214,44000,16,,,,,,,,
3122, M,56,20150920,38000,18,,,,,,,,
3123, M,65,20171222,76000,9,,,,,,,,
3124, M,90,20180409,38000,12,,,,,,,,
3125, M,62,20150917,52000,4,,,,,,,,
3126, F,63,20170808,68000,11,,,,,,,,
3127, F,36,20180103,40000,10,,,,,,,,
3128, F,62,20171222,94000,22,,,,,,,,
3129, M,19,20161204,43000,4,,,,,,,,
3130, M,76,20180308,118000,11,,,,,,,,
3131, M,43,20170924,51000,7,,,,,,,,
3132, M,24,20160325,50000,4,,,,,,,,
3133, F,83,20170325,58000,5,,,,,,,,
3134, M,67,20170812,34000,6,,,,,,,,
3135, F,35,20151018,45000,13,,,,,,,,
3136, M,65,20140521,61000,4,,,,,,,,
3137, F,58,20170906,109000,14,,,,,,,,
3138, M,43,20161225,72000,10,,,,,,,,
3139, F,71,20160517,89000,8,,,,,,,,
3140, F,69,20160522,85000,17,,,,,,,,
3141, M,67,20160720,38000,8,,,,,,,,
3142, F,48,20170513,94000,20,,,,,,,,
3143, M,43,20170830,34000,13,,,,,,,,
3144, M,23,20180428,42000,8,,,,,,,,
3145, F,75,20170514,109000,10,,,,,,,,
3146, F,32,20160110,64000,6,,,,,,,,
3147, M,58,20170430,79000,6,,,,,,,,
3148, F,62,20140114,40000,57,,,,,,,,
3149, M,41,20170731,42000,4,,,,,,,,
3150, M,42,20160905,68000,7,,,,,,,,
3151, M,27,20160531,32000,17,,,,,,,,
3152, M,63,20180630,84000,28,,,,,,,,
3153, M,43,20171002,34000,9,,,,,,,,
3154, M,21,20131106,47000,53,,,,,,,,
3155, M,70,20171014,79000,11,,,,,,,,
3156, F,67,20151127,65000,4,,,,,,,,
3157, M,71,20180530,69000,4,,,,,,,,
3158, M,30,20180223,60000,4,,,,,,,,
3159, M,36,20140115,64000,12,,,,,,,,
3160, M,72,20170827,48000,5,,,,,,,,
3161, M,58,20130813,54000,7,,,,,,,,
3162, M,22,20180130,72000,4,,,,,,,,
3163, M,45,20140427,86000,11,,,,,,,,
3164, F,39,20170505,52000,12,,,,,,,,
3165, M,66,20170806,88000,12,,,,,,,,
3166, M,45,20180716,62000,10,,,,,,,,
3167, F,41,20170822,56000,65,,,,,,,,
3168, F,20,20160111,54000,14,,,,,,,,
3169, M,56,20160121,56000,7,,,,,,,,
3170, F,73,20180724,113000,6,,,,,,,,
3171, F,65,20171225,48000,10,,,,,,,,
3172, F,88,20170913,69000,4,,,,,,,,
3173, M,64,20150722,67000,7,,,,,,,,
3174, F,53,20170222,65000,4,,,,,,,,
3175, M,82,20180525,44000,10,,,,,,,,
3176, F,34,20171103,33000,10,,,,,,,,
3177, F,83,20160130,107000,24,,,,,,,,
3178, F,43,20170705,66000,36,,,,,,,,
3179, M,82,20171023,63000,8,,,,,,,,
3180, M,56,20161124,55000,9,,,,,,,,
3181, F,59,20170821,95000,6,,,,,,,,
3182, M,55,20180329,62000,4,,,,,,,,
3183, F,65,20161216,97000,25,,,,,,,,
3184, F,68,20180308,68000,34,,,,,,,,
3185, M,47,20131109,40000,9,,,,,,,,
3186, F,36,20171009,35000,4,,,,,,,,
3187, F,40,20170615,71000,20,,,,,,,,
3188, F,54,20170809,55000,14,,,,,,,,
3189, M,71,20180302,59000,15,,,,,,,,
3190, M,37,20150806,67000,61,,,,,,,,
3191, M,54,20161023,58000,6,,,,,,,,
3192, M,49,20180504,72000,5,,,,,,,,
3193, M,72,20150622,62000,5,,,,,,,,
3194, M,35,20160316,35000,49,,,,,,,,
3195, M,58,20161010,61000,4,,,,,,,,
3196, M,73,20170901,71000,23,,,,,,,,
3197, F,55,20160613,119000,4,,,,,,,,
3198, M,42,20171012,86000,21,,,,,,,,
3199, M,57,20180216,83000,63,,,,,,,,
3200, M,19,20171228,53000,20,,,,,,,,
3201, F,58,20161103,46000,13,,,,,,,,
3202, F,63,20180328,65000,4,,,,,,,,
3203, F,66,20160718,87000,5,,,,,,,,
3204, F,60,20171010,65000,5,,,,,,,,
3205, M,51,20170131,75000,4,,,,,,,,
3206, M,46,20130918,46000,5,,,,,,,,
3207, M,81,20180311,76000,4,,,,,,,,
3208, F,37,20160403,58000,6,,,,,,,,
3209, M,21,20180303,58000,8,,,,,,,,
3210, F,77,20170524,62000,38,,,,,,,,
3211, F,18,20141127,40000,4,,,,,,,,
3212, F,70,20180505,71000,17,,,,,,,,
3213, M,57,20171017,95000,39,,,,,,,,
3214, F,62,20171109,58000,10,,,,,,,,
3215, M,21,20180104,71000,13,,,,,,,,
3216, F,69,20160407,53000,8,,,,,,,,
3217, M,62,20160730,64000,7,,,,,,,,
3218, M,48,20150517,71000,16,,,,,,,,
3219, M,21,20171207,60000,52,,,,,,,,
3220, M,75,20170713,94000,25,,,,,,,,
3221, F,82,20180228,73000,58,,,,,,,,
3222, M,56,20171111,30000,7,,,,,,,,
3223, M,45,20171124,60000,33,,,,,,,,
3224, F,28,20171217,32000,15,,,,,,,,
3225, F,56,20171206,60000,33,,,,,,,,
3226, F,49,20180319,51000,36,,,,,,,,
3227, M,61,20170822,99000,4,,,,,,,,
3228, F,35,20151029,33000,60,,,,,,,,
3229, M,35,20180624,64000,7,,,,,,,,
3230, M,44,20170711,49000,4,,,,,,,,
3231, M,30,20180605,31000,7,,,,,,,,
3232, M,58,20180309,33000,5,,,,,,,,
3233, M,35,20140404,41000,8,,,,,,,,
3234, F,58,20170104,91000,10,,,,,,,,
3235, F,45,20130909,82000,26,,,,,,,,
3236, O,62,20160821,65000,11,,,,,,,,
3237, M,66,20160309,52000,10,,,,,,,,
3238, F,64,20160209,80000,23,,,,,,,,
3239, M,27,20180211,32000,5,,,,,,,,
3240, M,24,20151021,51000,9,,,,,,,,
3241, M,25,20170912,44000,16,,,,,,,,
3242, M,83,20180705,62000,28,,,,,,,,
3243, M,49,20170914,67000,10,,,,,,,,
3244, M,70,20140917,93000,6,,,,,,,,
3245, F,71,20160417,97000,5,,,,,,,,
3246, M,27,20171201,37000,18,,,,,,,,
3247, M,52,20150228,37000,6,,,,,,,,
3248, F,22,20170122,49000,9,,,,,,,,
3249, M,48,20170820,32000,6,,,,,,,,
3250, F,57,20151027,102000,5,,,,,,,,
3251, M,63,20180315,51000,5,,,,,,,,
3252, M,58,20160418,79000,42,,,,,,,,
3253, M,60,20170227,66000,5,,,,,,,,
3254, F,85,20180405,80000,6,,,,,,,,
3255, M,54,20171022,51000,91,,,,,,,,
3256, F,92,20160816,108000,48,,,,,,,,
3257, M,19,20170922,54000,22,,,,,,,,
3258, F,73,20180226,36000,9,,,,,,,,
3259, M,51,20180116,44000,5,,,,,,,,
3260, M,36,20171214,38000,11,,,,,,,,
3261, F,92,20171019,87000,13,,,,,,,,
3262, F,65,20180112,80000,4,,,,,,,,
3263, M,62,20170805,40000,8,,,,,,,,
3264, F,81,20180401,79000,8,,,,,,,,
3265, M,53,20140316,70000,9,,,,,,,,
3266, F,55,20160202,75000,4,,,,,,,,
3267, M,61,20180226,35000,11,,,,,,,,
3268, M,32,20171124,68000,12,,,,,,,,
3269, M,54,20170618,71000,82,,,,,,,,
3270, M,65,20141230,50000,4,,,,,,,,
3271, F,65,20170303,88000,5,,,,,,,,
3272, F,72,20180616,93000,10,,,,,,,,
3273, M,48,20160909,78000,52,,,,,,,,
3274, M,58,20171204,54000,4,,,,,,,,
3275, F,79,20160524,72000,33,,,,,,,,
3276, F,56,20180102,90000,13,,,,,,,,
3277, F,44,20171027,53000,47,,,,,,,,
3278, M,55,20170814,57000,7,,,,,,,,
3279, M,33,20170421,72000,10,,,,,,,,
3280, F,24,20160113,72000,18,,,,,,,,
3281, F,48,20170808,75000,4,,,,,,,,
3282, F,56,20170606,118000,4,,,,,,,,
3283, M,55,20170930,32000,44,,,,,,,,
3284, F,70,20180427,84000,18,,,,,,,,
3285, M,62,20170816,55000,26,,,,,,,,
3286, F,58,20151102,39000,7,,,,,,,,
3287, M,62,20170804,52000,7,,,,,,,,
3288, F,84,20170810,100000,4,,,,,,,,
3289, F,38,20180411,44000,44,,,,,,,,
3290, M,60,20180615,85000,19,,,,,,,,
3291, M,54,20171020,60000,7,,,,,,,,
3292, F,59,20160812,103000,5,,,,,,,,
3293, M,83,20171123,103000,7,,,,,,,,
3294, M,64,20170503,54000,9,,,,,,,,
3295, F,47,20151101,41000,18,,,,,,,,
3296, M,50,20180121,46000,32,,,,,,,,
3297, M,48,20171117,64000,6,,,,,,,,
3298, F,26,20170608,41000,44,,,,,,,,
3299, F,83,20171019,41000,13,,,,,,,,
3300, F,90,20171203,89000,4,,,,,,,,
3301, F,60,20170811,97000,5,,,,,,,,
3302, F,51,20170113,85000,19,,,,,,,,
3303, M,40,20171021,50000,15,,,,,,,,
3304, M,40,20171129,70000,8,,,,,,,,
3305, F,62,20160406,101000,16,,,,,,,,
3306, M,37,20171105,64000,31,,,,,,,,
3307, F,53,20170129,91000,6,,,,,,,,
3308, F,50,20180313,55000,14,,,,,,,,
3309, F,39,20180519,74000,35,,,,,,,,
3310, M,36,20170914,36000,8,,,,,,,,
3311, M,61,20171112,54000,4,,,,,,,,
3312, F,56,20161016,72000,33,,,,,,,,
3313, F,61,20170828,115000,5,,,,,,,,
3314, M,22,20160428,35000,11,,,,,,,,
3315, M,62,20150524,74000,11,,,,,,,,
3316, M,70,20170430,84000,12,,,,,,,,
3317, M,83,20180725,96000,5,,,,,,,,
3318, F,94,20160929,31000,5,,,,,,,,
3319, M,46,20170906,50000,7,,,,,,,,
3320, F,69,20160108,48000,9,,,,,,,,
3321, M,59,20170804,43000,33,,,,,,,,
3322, M,81,20160825,120000,9,,,,,,,,
3323, F,51,20180206,43000,5,,,,,,,,
3324, F,48,20171113,54000,19,,,,,,,,
3325, M,60,20170128,92000,7,,,,,,,,
3326, M,40,20160829,65000,29,,,,,,,,
3327, F,24,20170122,61000,13,,,,,,,,
3328, M,43,20170603,87000,8,,,,,,,,
3329, M,60,20171014,83000,5,,,,,,,,
3330, F,22,20161115,49000,4,,,,,,,,
3331, M,24,20180212,53000,9,,,,,,,,
3332, F,94,20140823,75000,11,,,,,,,,
3333, F,26,20170430,57000,5,,,,,,,,
3334, M,26,20180703,62000,20,,,,,,,,
3335, M,52,20171121,56000,7,,,,,,,,
3336, M,73,20131112,41000,9,,,,,,,,
3337, M,48,20160104,72000,5,,,,,,,,
3338, F,65,20140308,39000,45,,,,,,,,
3339, F,38,20160329,85000,7,,,,,,,,
3340, M,49,20160514,50000,7,,,,,,,,
3341, M,54,20180429,35000,9,,,,,,,,
3342, M,54,20170408,57000,17,,,,,,,,
3343, M,58,20140716,40000,9,,,,,,,,
3344, M,51,20180417,65000,9,,,,,,,,
3345, M,49,20170218,39000,4,,,,,,,,
3346, F,55,20160728,86000,4,,,,,,,,
3347, M,57,20170320,31000,4,,,,,,,,
3348, M,61,20170331,52000,6,,,,,,,,
3349, F,67,20170911,43000,11,,,,,,,,
3350, F,35,20160430,34000,44,,,,,,,,
3351, M,33,20160709,32000,4,,,,,,,,
3352, F,53,20180605,110000,6,,,,,,,,
3353, F,61,20151128,87000,7,,,,,,,,
3354, M,59,20150220,59000,23,,,,,,,,
3355, F,51,20160104,114000,13,,,,,,,,
3356, M,63,20160408,38000,11,,,,,,,,
3357, M,86,20170921,80000,23,,,,,,,,
3358, M,49,20170618,56000,29,,,,,,,,
3359, F,71,20180319,96000,5,,,,,,,,
3360, M,62,20180129,80000,18,,,,,,,,
3361, M,78,20171209,33000,7,,,,,,,,
3362, F,54,20170226,108000,8,,,,,,,,
3363, M,68,20170826,37000,21,,,,,,,,
3364, F,88,20170712,89000,6,,,,,,,,
3365, M,33,20180722,72000,10,,,,,,,,
3366, M,42,20151224,36000,4,,,,,,,,
3367, M,28,20171123,70000,9,,,,,,,,
3368, F,51,20161030,50000,13,,,,,,,,
3369, M,41,20171129,97000,10,,,,,,,,
3370, F,37,20171013,58000,4,,,,,,,,
3371, M,61,20141104,55000,24,,,,,,,,
3372, M,46,20160522,53000,5,,,,,,,,
3373, M,18,20160603,36000,19,,,,,,,,
3374, M,20,20171216,43000,19,,,,,,,,
3375, F,86,20180109,100000,46,,,,,,,,
3376, F,53,20160321,83000,4,,,,,,,,
3377, F,69,20170530,75000,100,,,,,,,,
3378, M,28,20150218,50000,33,,,,,,,,
3379, M,67,20160228,79000,23,,,,,,,,
3380, F,41,20170825,50000,5,,,,,,,,
3381, F,78,20170421,99000,5,,,,,,,,
3382, M,47,20180206,39000,10,,,,,,,,
3383, M,32,20170920,73000,4,,,,,,,,
3384, M,68,20170620,33000,36,,,,,,,,
3385, O,52,20170307,60000,15,,,,,,,,
3386, F,62,20161203,57000,8,,,,,,,,
3387, M,38,20151019,38000,27,,,,,,,,
3388, F,74,20160627,86000,5,,,,,,,,
3389, M,25,20151205,60000,7,,,,,,,,
3390, M,22,20171030,49000,8,,,,,,,,
3391, M,24,20180608,35000,7,,,,,,,,
3392, M,52,20170408,97000,17,,,,,,,,
3393, F,54,20180527,36000,20,,,,,,,,
3394, M,62,20150814,54000,65,,,,,,,,
3395, M,65,20180330,55000,7,,,,,,,,
3396, M,48,20171025,37000,7,,,,,,,,
3397, F,64,20171228,93000,12,,,,,,,,
3398, M,33,20180128,73000,5,,,,,,,,
3399, M,25,20160220,48000,7,,,,,,,,
3400, F,56,20161226,118000,13,,,,,,,,
3401, M,66,20180208,65000,5,,,,,,,,
3402, M,31,20151218,44000,8,,,,,,,,
3403, F,53,20180608,108000,7,,,,,,,,
3404, M,47,20151120,85000,5,,,,,,,,
3405, M,67,20130924,74000,8,,,,,,,,
3406, M,75,20170531,112000,33,,,,,,,,
3407, F,50,20180107,91000,13,,,,,,,,
3408, M,89,20151005,84000,4,,,,,,,,
3409, M,57,20160103,104000,11,,,,,,,,
3410, M,44,20161021,96000,9,,,,,,,,
3411, M,38,20160407,51000,20,,,,,,,,
3412, F,85,20170929,74000,59,,,,,,,,
3413, M,66,20161120,103000,11,,,,,,,,
3414, M,34,20161024,64000,7,,,,,,,,
3415, M,64,20160410,55000,15,,,,,,,,
3416, M,43,20180723,99000,11,,,,,,,,
3417, M,59,20161118,54000,37,,,,,,,,
3418, F,62,20161017,33000,82,,,,,,,,
3419, F,58,20160307,64000,17,,,,,,,,
3420, M,22,20160211,33000,26,,,,,,,,
3421, F,63,20170808,34000,17,,,,,,,,
3422, M,48,20180112,37000,52,,,,,,,,
3423, M,61,20180523,59000,6,,,,,,,,
3424, M,75,20170828,36000,4,,,,,,,,
3425, M,47,20170601,43000,15,,,,,,,,
3426, M,41,20170216,88000,7,,,,,,,,
3427, F,62,20161125,95000,10,,,,,,,,
3428, M,42,20180202,61000,26,,,,,,,,
3429, F,72,20170201,91000,11,,,,,,,,
3430, M,52,20170506,68000,22,,,,,,,,
3431, M,69,20170516,54000,37,,,,,,,,
3432, M,48,20150601,87000,6,,,,,,,,
3433, M,66,20170920,72000,4,,,,,,,,
3434, M,62,20151211,54000,8,,,,,,,,
3435, M,30,20180130,55000,40,,,,,,,,
3436, F,47,20180401,93000,6,,,,,,,,
3437, M,64,20180203,88000,9,,,,,,,,
3438, M,84,20140504,98000,62,,,,,,,,
3439, M,39,20170427,71000,64,,,,,,,,
3440, M,58,20180507,36000,9,,,,,,,,
3441, F,38,20171121,38000,7,,,,,,,,
3442, M,23,20171106,74000,12,,,,,,,,
3443, F,41,20170928,64000,16,,,,,,,,
3444, M,65,20140406,53000,4,,,,,,,,
3445, F,74,20161231,45000,8,,,,,,,,
3446, M,69,20170513,72000,15,,,,,,,,
3447, F,56,20170520,54000,4,,,,,,,,
3448, F,42,20171129,60000,4,,,,,,,,
3449, F,52,20170512,79000,10,,,,,,,,
3450, F,67,20160320,63000,20,,,,,,,,
3451, F,64,20150903,84000,14,,,,,,,,
3452, F,67,20171028,102000,45,,,,,,,,
3453, M,55,20171014,52000,23,,,,,,,,
3454, M,54,20180420,59000,17,,,,,,,,
3455, M,46,20150224,39000,15,,,,,,,,
3456, F,83,20170904,43000,43,,,,,,,,
3457, F,28,20170413,59000,10,,,,,,,,
3458, M,51,20170807,81000,4,,,,,,,,
3459, F,43,20170414,87000,4,,,,,,,,
3460, M,32,20170819,71000,16,,,,,,,,
3461, F,59,20171108,70000,28,,,,,,,,
3462, M,46,20180121,63000,12,,,,,,,,
3463, M,40,20180110,59000,5,,,,,,,,
3464, M,63,20180321,54000,59,,,,,,,,
3465, M,59,20160124,38000,5,,,,,,,,
3466, F,39,20161116,32000,5,,,,,,,,
3467, M,57,20160404,76000,28,,,,,,,,
3468, M,48,20170803,59000,21,,,,,,,,
3469, M,18,20171010,67000,7,,,,,,,,
3470, F,58,20140914,93000,6,,,,,,,,
3471, M,47,20171027,51000,19,,,,,,,,
3472, F,59,20180601,101000,8,,,,,,,,
3473, M,67,20160331,77000,6,,,,,,,,
3474, F,28,20170107,62000,10,,,,,,,,
3475, M,52,20140415,92000,93,,,,,,,,
3476, M,43,20170727,57000,4,,,,,,,,
3477, O,53,20160123,97000,8,,,,,,,,
3478, M,73,20170823,52000,11,,,,,,,,
3479, F,37,20160216,57000,4,,,,,,,,
3480, M,37,20180405,47000,10,,,,,,,,
3481, M,50,20170819,55000,32,,,,,,,,
3482, M,48,20170827,71000,22,,,,,,,,
3483, M,33,20180501,44000,6,,,,,,,,
3484, M,81,20150728,73000,63,,,,,,,,
3485, F,53,20171023,114000,44,,,,,,,,
3486, M,52,20131223,35000,5,,,,,,,,
3487, F,36,20160127,58000,6,,,,,,,,
3488, F,59,20160222,75000,8,,,,,,,,
3489, M,62,20170520,72000,4,,,,,,,,
3490, M,71,20150602,69000,72,,,,,,,,
3491, M,51,20171116,106000,15,,,,,,,,
3492, F,73,20170303,80000,48,,,,,,,,
3493, F,65,20180112,80000,17,,,,,,,,
3494, F,63,20171127,108000,22,,,,,,,,
3495, M,42,20140102,57000,5,,,,,,,,
3496, F,81,20160701,77000,12,,,,,,,,
3497, F,73,20171221,100000,31,,,,,,,,
3498, M,53,20171126,81000,4,,,,,,,,
3499, M,31,20160514,35000,24,,,,,,,,
3500, M,35,20180226,70000,44,,,,,,,,
3501, M,84,20140215,63000,6,,,,,,,,
3502, M,40,20171210,56000,10,,,,,,,,
3503, F,62,20170924,72000,41,,,,,,,,
3504, M,21,20180223,70000,11,,,,,,,,
3505, F,74,20180120,104000,13,,,,,,,,
3506, F,64,20150822,102000,4,,,,,,,,
3507, M,56,20180122,47000,16,,,,,,,,
3508, F,67,20171230,86000,5,,,,,,,,
3509, M,50,20151124,37000,71,,,,,,,,
3510, F,85,20170226,96000,65,,,,,,,,
3511, M,68,20171203,52000,4,,,,,,,,
3512, F,24,20180112,56000,27,,,,,,,,
3513, F,40,20160904,61000,12,,,,,,,,
3514, F,26,20161207,72000,100,,,,,,,,
3515, F,45,20180317,61000,5,,,,,,,,
3516, M,59,20170606,105000,9,,,,,,,,
3517, F,74,20160114,91000,10,,,,,,,,
3518, M,51,20150624,61000,8,,,,,,,,
3519, M,39,20180714,45000,8,,,,,,,,
3520, F,65,20150915,87000,15,,,,,,,,
3521, M,76,20171019,109000,6,,,,,,,,
3522, F,42,20180223,39000,17,,,,,,,,
3523, F,60,20180213,92000,26,,,,,,,,
3524, M,71,20180417,64000,6,,,,,,,,
3525, F,83,20171207,94000,19,,,,,,,,
3526, M,57,20130818,65000,8,,,,,,,,
3527, F,47,20171221,33000,22,,,,,,,,
3528, F,55,20171014,103000,4,,,,,,,,
3529, M,20,20180315,44000,21,,,,,,,,
3530, F,23,20161202,61000,74,,,,,,,,
3531, M,78,20180725,103000,30,,,,,,,,
3532, M,24,20180706,54000,16,,,,,,,,
3533, F,71,20180221,52000,21,,,,,,,,
3534, M,80,20170801,71000,15,,,,,,,,
3535, M,49,20161009,89000,5,,,,,,,,
3536, M,48,20180611,37000,65,,,,,,,,
3537, F,88,20151025,71000,9,,,,,,,,
3538, M,54,20170327,61000,44,,,,,,,,
3539, M,46,20171123,67000,7,,,,,,,,
3540, F,53,20180717,98000,11,,,,,,,,
3541, M,61,20180525,35000,6,,,,,,,,
3542, M,50,20130815,66000,21,,,,,,,,
3543, F,26,20180305,54000,27,,,,,,,,
3544, F,61,20170818,84000,31,,,,,,,,
3545, M,80,20170716,50000,4,,,,,,,,
3546, F,22,20160119,52000,12,,,,,,,,
3547, F,62,20160925,107000,4,,,,,,,,
3548, F,101,20150526,99000,30,,,,,,,,
3549, M,83,20180509,40000,37,,,,,,,,
3550, M,37,20160410,52000,19,,,,,,,,
3551, O,20,20150702,61000,26,,,,,,,,
3552, M,37,20180220,54000,11,,,,,,,,
3553, F,60,20171115,58000,4,,,,,,,,
3554, M,20,20180521,49000,18,,,,,,,,
3555, M,85,20171128,70000,15,,,,,,,,
3556, M,44,20171010,77000,6,,,,,,,,
3557, M,81,20180302,60000,10,,,,,,,,
3558, M,55,20171010,108000,48,,,,,,,,
3559, M,73,20160301,63000,10,,,,,,,,
3560, M,64,20171027,41000,4,,,,,,,,
3561, M,74,20150916,45000,4,,,,,,,,
3562, F,58,20170426,41000,28,,,,,,,,
3563, M,64,20180212,74000,4,,,,,,,,
3564, F,44,20171101,72000,6,,,,,,,,
3565, M,64,20180510,42000,6,,,,,,,,
3566, M,68,20180215,57000,12,,,,,,,,
3567, F,90,20180427,57000,7,,,,,,,,
3568, M,38,20170819,86000,12,,,,,,,,
3569, M,82,20151110,76000,10,,,,,,,,
3570, F,91,20180517,74000,17,,,,,,,,
3571, F,78,20130824,36000,27,,,,,,,,
3572, M,46,20170921,47000,24,,,,,,,,
3573, M,88,20160730,111000,9,,,,,,,,
3574, M,72,20171115,74000,4,,,,,,,,
3575, F,39,20141114,55000,4,,,,,,,,
3576, M,60,20151229,73000,4,,,,,,,,
3577, M,64,20170805,117000,4,,,,,,,,
3578, M,48,20180610,40000,4,,,,,,,,
3579, F,49,20180122,45000,80,,,,,,,,
3580, F,43,20171026,33000,23,,,,,,,,
3581, M,30,20170721,65000,5,,,,,,,,
3582, M,40,20160916,70000,19,,,,,,,,
3583, M,18,20140820,40000,6,,,,,,,,
3584, F,61,20180328,40000,65,,,,,,,,
3585, M,49,20180619,72000,5,,,,,,,,
3586, M,69,20180130,110000,17,,,,,,,,
3587, M,68,20161028,77000,7,,,,,,,,
3588, M,77,20170925,44000,4,,,,,,,,
3589, M,63,20151205,92000,24,,,,,,,,
3590, M,61,20171208,56000,9,,,,,,,,
3591, M,55,20180319,56000,4,,,,,,,,
3592, F,74,20170908,64000,4,,,,,,,,
3593, M,66,20141031,52000,84,,,,,,,,
3594, F,58,20180322,76000,27,,,,,,,,
3595, F,49,20170623,66000,4,,,,,,,,
3596, M,37,20160803,60000,13,,,,,,,,
3597, F,72,20130902,57000,53,,,,,,,,
3598, F,56,20171209,88000,6,,,,,,,,
3599, M,22,20180210,64000,10,,,,,,,,
3600, M,59,20180507,51000,50,,,,,,,,
3601, M,42,20161227,97000,5,,,,,,,,
3602, F,38,20151029,43000,34,,,,,,,,
3603, M,52,20151224,61000,11,,,,,,,,
3604, M,37,20180308,64000,4,,,,,,,,
3605, M,44,20161115,83000,31,,,,,,,,
3606, F,59,20170810,60000,26,,,,,,,,
3607, O,55,20170815,90000,11,,,,,,,,
3608, M,57,20170922,118000,17,,,,,,,,
3609, M,54,20170607,71000,7,,,,,,,,
3610, F,51,20180304,48000,14,,,,,,,,
3611, F,58,20151117,42000,4,,,,,,,,
3612, M,63,20180615,68000,64,,,,,,,,
3613, M,34,20171129,66000,4,,,,,,,,
3614, F,63,20140222,65000,41,,,,,,,,
3615, F,51,20160619,74000,24,,,,,,,,
3616, M,33,20170821,31000,7,,,,,,,,
3617, M,37,20140522,38000,27,,,,,,,,
3618, F,54,20160624,41000,15,,,,,,,,
3619, F,90,20161011,33000,6,,,,,,,,
3620, M,58,20180130,61000,15,,,,,,,,
3621, F,89,20171213,67000,32,,,,,,,,
3622, F,51,20160205,72000,4,,,,,,,,
3623, O,53,20180104,97000,21,,,,,,,,
3624, M,48,20170228,57000,5,,,,,,,,
3625, M,27,20170520,73000,7,,,,,,,,
3626, F,38,20180513,54000,42,,,,,,,,
3627, F,64,20180329,98000,15,,,,,,,,
3628, F,60,20150919,113000,9,,,,,,,,
3629, F,51,20130913,54000,21,,,,,,,,
3630, F,74,20180224,58000,9,,,,,,,,
3631, M,62,20180318,57000,8,,,,,,,,
3632, F,46,20160617,63000,21,,,,,,,,
3633, F,32,20160530,53000,7,,,,,,,,
3634, O,77,20170810,51000,40,,,,,,,,
3635, M,62,20170715,69000,16,,,,,,,,
3636, M,30,20160919,39000,5,,,,,,,,
3637, M,73,20180422,58000,19,,,,,,,,
3638, M,61,20180425,53000,4,,,,,,,,
3639, O,40,20180109,57000,17,,,,,,,,
3640, M,55,20140712,39000,14,,,,,,,,
3641, F,52,20160518,113000,5,,,,,,,,
3642, M,53,20160920,45000,18,,,,,,,,
3643, F,57,20171103,102000,7,,,,,,,,
3644, F,69,20180226,115000,20,,,,,,,,
3645, F,18,20170223,73000,9,,,,,,,,
3646, M,24,20180109,71000,7,,,,,,,,
3647, M,19,20171126,59000,4,,,,,,,,
3648, F,66,20160724,113000,37,,,,,,,,
3649, F,43,20170125,69000,6,,,,,,,,
3650, F,60,20170602,116000,24,,,,,,,,
3651, F,50,20180109,78000,33,,,,,,,,
3652, M,18,20170920,61000,41,,,,,,,,
3653, M,89,20160429,84000,9,,,,,,,,
3654, F,47,20150810,30000,7,,,,,,,,
3655, F,21,20170920,49000,14,,,,,,,,
3656, F,56,20180331,98000,12,,,,,,,,
3657, M,53,20180123,56000,18,,,,,,,,
3658, F,86,20170323,95000,9,,,,,,,,
3659, M,62,20160328,52000,41,,,,,,,,
3660, F,56,20180405,55000,35,,,,,,,,
3661, F,60,20161120,82000,10,,,,,,,,
3662, M,18,20130808,56000,6,,,,,,,,
3663, M,59,20180419,87000,54,,,,,,,,
3664, M,56,20170722,61000,37,,,,,,,,
3665, F,41,20160205,64000,7,,,,,,,,
3666, F,41,20150315,55000,7,,,,,,,,
3667, F,51,20180515,30000,39,,,,,,,,
3668, F,25,20170606,45000,4,,,,,,,,
3669, M,51,20170102,62000,6,,,,,,,,
3670, M,45,20170813,99000,10,,,,,,,,
3671, M,73,20180718,52000,10,,,,,,,,
3672, M,65,20180519,58000,14,,,,,,,,
3673, M,63,20151229,89000,11,,,,,,,,
3674, M,93,20170904,35000,5,,,,,,,,
3675, M,55,20180219,30000,16,,,,,,,,
3676, M,91,20171109,51000,25,,,,,,,,
3677, M,47,20170326,71000,9,,,,,,,,
3678, M,26,20180521,67000,4,,,,,,,,
3679, M,71,20180121,51000,16,,,,,,,,
3680, F,38,20160325,64000,27,,,,,,,,
3681, M,22,20180115,43000,23,,,,,,,,
